id,r2_2A3
fb2d07943d4a,0.7207
013d70a8caaa,0.717
8a4938b11747,0.7068
2ef5eb7714e0,0.6679
41fa733046eb,0.6107
4a50a0063c67,0.6038
f41ec21d3b3b,0.6011
56ac2ffcb004,0.5924
7998b2a4414b,0.5889
0829c9927e11,0.5844
5d843aea9a2a,0.5747
7e3a9c634ed1,0.5662
ceea63aaa865,0.5617
ddfa4a58c677,0.5467
4a590fea2bd1,0.5279
ed5a8f5f6345,0.522
bd941ffb9325,0.5182
e43a03056b8b,0.509
92deb273491a,0.5062
410dcbf1ae05,0.4963
825808792d4e,0.4959
55b357e9bf5c,0.4856
2bd577097f45,0.4793
ba082b847174,0.4699
3be98262abff,0.4687
b97700e859b1,0.4648
664112a7e8d3,0.4569
86e8321b51e6,0.4543
db742ffb04ff,0.4466
c5430b7fffda,0.4455
161afa3734d0,0.4315
e4db63498f90,0.4299
0a01c50bfebd,0.4275
34c6775189a8,0.421
cc17ac27ba94,0.4204
9b2af3542ad3,0.4189
908fab8aa54c,0.4042
986e252dc06e,0.4016
9880b55b9134,0.3951
df8d94b4f9e3,0.3934
e166a5b8e1c9,0.3903
32c97c27f88c,0.3887
34082b9e21ca,0.3881
55a04dfb59a3,0.3881
72163dd61898,0.3858
82f3aebfe388,0.385
e7a3c4a59606,0.3821
edb95e758eb1,0.3812
074c5b4142cb,0.3777
c416c3bee417,0.3722
14687848f1e8,0.3544
bf6f43ecbd5d,0.3544
65d384458a09,0.3454
d5916b4671da,0.331
37ab08524137,0.3289
68c3e5e76555,0.3275
43b4797380bc,0.3233
2a418c088b2d,0.3213
d2aaf5a19dbc,0.3178
bc76034442c7,0.3153
b4784e029874,0.3062
dc12fda443c9,0.3026
0076271a6758,0.3017
60a33c03500d,0.3005
a245115cdd22,0.2997
4ad1fdae6572,0.2993
b15e0e7fb272,0.2972
b68627fdb4c3,0.2945
9fc119e30a79,0.2937
d90bee962bbf,0.2933
98b5202070fa,0.2905
c4fa5579f816,0.2883
c9f2270c6e8e,0.2865
70d05dd19f28,0.286
e49bb9bf7c33,0.285
2972dcac7817,0.2845
ed8be3b41053,0.279
0a4deb1c0133,0.2765
fb206e9fc12c,0.276
cd97495bfec3,0.2728
5bcc911e600c,0.2722
72710aa65801,0.2668
402d1cb604c4,0.2645
f32c3d99fca5,0.2592
1424ea6c1b31,0.2539
1f4913079dde,0.2527
f193301f9e60,0.2483
4170ccd55c59,0.2464
1d150b6049e4,0.2385
ea586b8a3b51,0.2352
83ea033f88f4,0.2335
a2596f5f2595,0.2314
23ab52e0c9e2,0.2309
0a6d4ffce3cf,0.2303
e2176c9eac7e,0.2292
f29e5f3f8770,0.2291
01a5b5ff671f,0.2286
be032e4110c7,0.2275
e7e712edf831,0.2248
9ad960fe0a23,0.2237
058fb24129d8,0.2165
3b2e2c4038c9,0.2123
512c8cba08db,0.2078
eb9dc353022d,0.2056
87126e4cc48f,0.2047
290f08848870,0.2033
a22cf2d22ed0,0.2014
43778e66a07a,0.2009
8e594e27e3e1,0.2
4f262752fab4,0.1998
7ef1f8f2b9a4,0.1997
bda2ecdbf725,0.1996
6393f1880942,0.1977
fae289e8fc91,0.1972
b7ea0e50d02f,0.1967
433c6cd2825b,0.1961
589d9902caf7,0.1957
f733df52dc5a,0.1949
43ebb6d9c0ad,0.1945
32f3792e1210,0.1937
fa6a69c21852,0.193
661166c19fc1,0.1927
6acb4857f378,0.1924
17b607fa4d45,0.1915
27be8a704cfa,0.1913
dffba9727c6b,0.1903
38332e386fe9,0.1902
1c3dccc42294,0.19
9bf98d97b24f,0.1899
078418927cf6,0.1897
5faa524fa646,0.1896
99da6882e22d,0.1896
b6b28a5ee829,0.1892
d821cd491750,0.1891
4061994b0e5a,0.1888
2770514bccf2,0.1885
7f585da6b883,0.1883
60a568d14985,0.188
93ad0c526b08,0.188
92c5c1e3f0f5,0.1877
04d9a49b8d4e,0.1865
21df8553e583,0.1864
ffd797d741a1,0.1858
07b7b1ffef15,0.1851
e6a2506f0721,0.1847
eed8d47d6a3a,0.1844
888a2153df17,0.1841
f44461ea56a0,0.184
a7c73135c16a,0.1837
3c943ce065db,0.1833
c01746e94e19,0.1833
f5162ecb41a7,0.1828
348b6be55c96,0.1821
eb75b92ac39b,0.1814
58e06d102a47,0.1808
65f646f5a825,0.1806
86753a254b54,0.1804
9630a89f03fa,0.1803
8832da21d076,0.1803
380e8c7bda14,0.1801
1932b7b64422,0.1794
cd50543b8aab,0.1794
63ca7a80ecb8,0.179
afb2314cfd03,0.1789
4bc364d9e923,0.1783
29c9f6a79870,0.1783
152c018e02de,0.1783
66279db2d67e,0.1781
39b7e28ba567,0.1779
d5e987cf8e04,0.1776
3c3e01cac22c,0.1775
7ce2e9511572,0.1764
aa245ea91489,0.176
37070b7d18c0,0.1755
3525eebb5811,0.1753
66bce9b5c4ad,0.175
e544ca0c383a,0.1748
2b15a5211bb0,0.1744
32678d1c7b9e,0.1743
74d1b280390f,0.1739
26815faff23a,0.1733
b2fa0fe01b71,0.1724
9af8cf27d805,0.1719
cc11a60fee96,0.1718
ba085d707f01,0.1712
d7bf8664979b,0.1706
abb64f934bea,0.1704
f01c66d3261f,0.1698
ba77a5f34eb8,0.1678
601870370df3,0.1674
e4bbb8942e39,0.1668
d9485cbd9189,0.1667
a735a1999d66,0.1661
f5657a59fa0a,0.1661
7a89f1d51b38,0.1658
c6574288c9a5,0.1658
fdcc68772534,0.1656
34f56030fda7,0.1654
977b6cba9cb2,0.1652
3d808dd591c7,0.1648
4ab2bf4f217d,0.1643
3512125b927c,0.1641
f965f5e2adca,0.1635
a7cd04cdb307,0.1633
baa6fdbefae8,0.1631
063b16afd02f,0.163
080d25202bfb,0.1627
899e92adc8b0,0.161
71374f521c67,0.1599
164c05074c82,0.1591
c546b480769f,0.159
0b9fa509cd5e,0.1586
f1b2419c769e,0.1585
290bd978609b,0.1585
be48612efcab,0.1585
8cc72a2f69a4,0.1573
da54fda4d379,0.1572
c35d969baa62,0.1562
ef21acc155c8,0.1555
11fd9375ac15,0.1541
0c901f4251f0,0.1537
79d9cca45891,0.153
59648f0aa190,0.1527
466dbeae0aaa,0.1527
6bea7a4a0c16,0.1525
af50c64f2557,0.1525
c8880187619f,0.1511
1e830b62a716,0.1505
24e37a24324c,0.1503
6e7bc40f5d9b,0.1501
1e85a73e35ac,0.15
322c9c1067d9,0.1496
738a72c1b74f,0.1496
cb1bed4c1481,0.1495
6241320fd528,0.1482
a7f905c85826,0.1481
2f15cb06cbd9,0.1476
6a0e57827d9c,0.1467
b80cd3cdb4fb,0.1465
37904c6f2ae3,0.1463
bcbb90fdf98e,0.1449
93d6c387f964,0.1448
436fe10a05e0,0.1447
1454d3dbb150,0.1446
50f64e9fb9a4,0.1446
338d4b3c7116,0.1444
9e0ac52f43ba,0.1444
aed2d5f1d300,0.1437
322ee9116b3d,0.1437
c3682482346e,0.1435
195c029ca548,0.1435
354e2fcc4e60,0.1425
a464095bd31e,0.1415
981b3857beac,0.1414
86a1cacf9066,0.1414
45396efb0494,0.1412
f76d39742a7c,0.141
6052d1114a06,0.1406
19fa666c94fc,0.1399
e35b8b55e94a,0.139
a7da9d6fb1da,0.1386
5ba8cef3d1e4,0.1377
d099a09ce011,0.1374
b2f505214c10,0.1367
02279975034a,0.1366
30b030eea19b,0.1363
a48c3b315d41,0.1357
a87c751ed45b,0.1349
c046540aa91d,0.1337
b1e2826979c2,0.1336
7b94a6a1df0e,0.1335
9b1eca5f9226,0.1333
02de5c3f993f,0.1332
bb0d0df68390,0.1326
0e37c5e5f01d,0.1325
7811af522890,0.1325
546d5c685bef,0.1324
d3ef26b85947,0.1318
7a9293486d97,0.1308
58137202b5b4,0.1302
2bee0398b551,0.1296
2e4ce4dbae59,0.1295
3f698a144bca,0.1294
098342e543e2,0.1294
ae23c26a8cbd,0.1292
1e797de5c083,0.1286
8b68e9abe8aa,0.1286
5e0281f0246a,0.1285
c591fa71bb11,0.1285
ff96d78b7e0d,0.1281
59a12a95126e,0.1278
79f7012ebb52,0.1268
40d8205cdad7,0.1266
d19d81248552,0.1265
4f9eda99cde6,0.1265
81edcf69dfef,0.126
b19072f54f89,0.1251
529b0831528d,0.1244
d3612afacdc5,0.1237
d650786e7dc9,0.1237
bb01df8d703b,0.1222
a72ebb251bb1,0.1212
d5974bbfda63,0.1208
0c7b05723ff5,0.1208
5388caa0d511,0.1203
e45bb40a3928,0.1202
00e45c9e547c,0.12
352450886141,0.1194
de5c004b5efe,0.1192
39e8caa37991,0.1185
4e4d31be64f0,0.1183
0bda9b074f07,0.1176
31e72e639f5d,0.1175
4f0aed872c6c,0.1165
bec26a1dea3a,0.1163
0dc1021303e4,0.1153
95e264f8cf2e,0.115
a817637e81e9,0.1148
57a00337ad60,0.1144
de6940eee92f,0.1143
695c23d4c199,0.114
50b1141e5150,0.1136
06d8f8d302a5,0.1122
e300a1143395,0.1116
5921425de489,0.1115
f555e40f7ad0,0.1113
685865a2d55d,0.111
afed1bcc37bc,0.1109
0647c7be3050,0.11
a9b330124429,0.1095
98af71953ed9,0.1094
bc25634e0826,0.1091
4870fd150862,0.1083
abb237fdd038,0.1078
2ca909559a95,0.107
52f2101e5c3b,0.1069
3befddf282ed,0.1068
f08bdb1ecd13,0.1063
a8e3bba2929f,0.1057
df72d4b15855,0.1057
896f526d2c25,0.1042
e382158a13fe,0.1041
86e1c3227a97,0.1039
75a0f7b30c82,0.1036
24d04ff3a723,0.1031
ed6ad75abedf,0.1027
