id,r2_2A3
2d7f88ab72b8,0.5696
4829049192ac,0.5409
8d117991b62b,0.5022
6988a1456a93,0.4902
d4ccf0284526,0.4756
013f365f6757,0.4704
62318949227c,0.4668
2cb236aca293,0.4608
5ccbd116c04e,0.4545
314ad1914c2f,0.4536
0c7b05723ff5,0.4471
884db2cd082c,0.4352
eaec7c107539,0.4114
99dae2292735,0.3854
3c8da9cb0387,0.3582
d119a018741a,0.3455
fceab407e72d,0.3297
d7218fa26f05,0.3206
0c4aae7227f0,0.3117
0ee5ed2e1709,0.3115
9762ac4e843e,0.3072
e1e6cecaa741,0.3054
0f4a1a9e3d16,0.302
2c22b9834401,0.2963
6ef21c414acc,0.2962
0ad7e1b89113,0.2955
d443e6aa64bd,0.2828
d0244dc0d46a,0.2723
cacf3edd3d21,0.2719
0829c9927e11,0.271
1e1b2fabfc50,0.2702
a294ab28d45c,0.2683
b87a405cd30a,0.2644
68223cafa9e5,0.264
5719cfd09421,0.2634
98960272d65e,0.2622
f19594803baa,0.2607
5e9570de2c5a,0.2593
d2314e1fbfa4,0.2575
a388733f2212,0.256
25b6ebc61d77,0.2533
06d8f8d302a5,0.2508
d95a173e678f,0.2475
e1696fe7c191,0.247
2b4736f4b6a3,0.2465
e6b3029258c2,0.2455
4f6d2e0ba82d,0.2433
42391b15394a,0.2421
57d6442da0d3,0.2409
c2cdce9d9505,0.2379
78203f59956d,0.2344
815843af30fd,0.2328
eca759004b6e,0.2324
35797bcc5fd3,0.2308
cb4934ea7864,0.2286
6dae7280c8ba,0.2283
55efeb84f43a,0.2255
f5921060fab0,0.2236
7d77c15e598d,0.2228
af063f0dd1ef,0.2225
6eaf9120cc99,0.2195
58ffa33586da,0.218
923c63c76615,0.2151
30ed3eec1cdf,0.2141
4b3557f758e3,0.2113
d2303bfef9e9,0.2075
13b33abd6716,0.2065
efc40932250d,0.2048
abaf4e6a4ed3,0.2018
98da54cbe829,0.2018
d51015bde007,0.1998
f8d0da9dd696,0.1993
9fc1322f904e,0.1991
2efae3c7c423,0.1991
a61e19adb8c0,0.1982
898ba7ea64bc,0.1982
0a0b6370292f,0.1975
c81ff96d4c92,0.197
24f73dc21e96,0.1967
f40947a7787c,0.1962
b35cbe8667a6,0.1954
4f4604b83e02,0.1952
6a29c92ec980,0.1944
c8c70a0f0b8d,0.1938
e6e2da9ea7d2,0.1923
b55ab01cf4b8,0.1922
d20f6a5531df,0.1921
f26ce573c656,0.1915
36b85602d24c,0.1915
08f5458de93f,0.1914
53944842276c,0.1912
506ffb338ebc,0.191
d3988b437052,0.1907
d4729a3bbc9e,0.1903
6fff87743be8,0.1903
70755c41937d,0.1896
812fa4700fde,0.1889
04ef5ebd1a6d,0.1885
