id,r2_DMS
884db2cd082c,0.8296
3c8da9cb0387,0.8281
448289605cbe,0.821
6988a1456a93,0.8121
9c6282b46a48,0.8075
4829049192ac,0.7851
fceab407e72d,0.7774
0a51b2404c6f,0.7709
60080c4b71da,0.7594
013f365f6757,0.7441
25b6ebc61d77,0.7268
0829c9927e11,0.7255
5ccbd116c04e,0.723
2d7f88ab72b8,0.7166
74f4a72619da,0.7114
62318949227c,0.7096
2cb236aca293,0.7085
b68627fdb4c3,0.6972
4872cb00698c,0.6781
04ef5ebd1a6d,0.6626
7c3ee80b6cc2,0.6278
3fc051413078,0.6202
4e040f7ae291,0.5892
7bc9fd28db4b,0.5875
da6b9257eb42,0.5641
22d3adb116dc,0.5584
8adb814acee9,0.5451
d516548af1db,0.5434
f39213f9ce59,0.5414
9e0bd44cb6a9,0.5376
ffc301672b82,0.5344
121b8f28bf28,0.5321
5a84f6cad69c,0.532
e4f9e145fde5,0.5317
a9e2577dab06,0.5314
2b9f0641c3f8,0.5197
58d209af6782,0.5171
0b9e6488213c,0.517
14272fbafd90,0.5166
47206881f893,0.506
ce21bbf5c11b,0.5041
4f899a5fe213,0.5027
dcf940d9a766,0.4982
fb0acd54e6de,0.4957
3971a19a6a57,0.4935
7daa08c30b49,0.4931
3efabb247219,0.4722
21de57ef6831,0.4716
331f3cefd434,0.4672
24d943a6bf1d,0.4657
d6ea48c55b2c,0.4638
8d227b5a5687,0.4637
6ec75840820d,0.4606
3eb5dcdb8520,0.4575
6a2727f660e9,0.4559
85a1e218370a,0.4557
c8c70a0f0b8d,0.4438
a9f63cb2b6e8,0.442
28852eba6d2d,0.4408
699c820322fa,0.4402
413b238b7cf7,0.4385
e114ce29ef3e,0.4375
12e53167b855,0.437
5faf93401e6d,0.4335
b6ff2850f54e,0.4278
cfa5a33720bc,0.4246
8d9a0bed6d17,0.4227
c901581697a7,0.4219
8eb60a144ec2,0.4218
ddef3715c016,0.4191
552f822fd613,0.4172
003084b05c00,0.4128
6f8206204b81,0.4127
cad4f771337b,0.4104
3a4a79e607fc,0.4104
59f16c4a0925,0.4048
dee5abb5bbb9,0.4041
7976955a4e5d,0.4039
19212bead0d5,0.4039
5cb990974a05,0.4024
a7a7482a5177,0.4014
3fbba18e12aa,0.3999
fa570f0c8f5a,0.3999
9bbf15225e26,0.3998
db071c57d026,0.3993
898ba7ea64bc,0.3981
c6cc31de1e87,0.3965
5b96c6a86295,0.3938
6a5466c2eaec,0.3936
e914b2317430,0.3933
30d669892bcf,0.3908
641f71c9b3a1,0.3884
075ba5fe50d9,0.3883
094ead307605,0.3873
f61ad1c32e44,0.3871
7e6e37ee861f,0.3869
c5d4d0d2d5da,0.3862
c81ff96d4c92,0.386
20ea8386e85a,0.3807
0e8d5a843dcb,0.3784
31c80791505e,0.376
349484fefe8f,0.3754
b51161b130a6,0.3742
e213d8240f6b,0.374
7ee3f73e930b,0.3731
4a921c570592,0.3719
97e8a4803f93,0.3709
959050e671a0,0.3703
8050e6cddf32,0.3684
8aee8f917e4f,0.3668
7726b6410444,0.3639
6fcf232811ba,0.3606
2efae3c7c423,0.3587
f26ce573c656,0.3573
d4793e24342b,0.3556
235f9fdc5793,0.3538
fd565c59fa05,0.3534
9fc1322f904e,0.3523
b55ab01cf4b8,0.3489
6fff87743be8,0.3485
34f24dd7c921,0.3472
9c8eda1e3202,0.3449
