id,r2
6a3e92ba3b30,0.4726
04a73818c53a,0.3424
bd2373f041c9,0.3295
ec46e6e8c436,0.3059
f26f0f20be81,0.2403
466dbeae0aaa,0.1527
466dbeae0aaa,0.0427
22d18b619377,0.0408
daf405cada19,-0.1309
919ca4536e4c,-0.4203
04a73818c53a,-0.5763
919ca4536e4c,-0.6641
87a89faad708,-1.2597
a4dec102a646,-1.3302
f26f0f20be81,-1.4967
cdf9f45c5ffa,-1.7732
b31d28ad8ccb,-1.8138
29a6cf016337,-2.3622
cdf9f45c5ffa,-3.5173
bd2373f041c9,-3.6535
daf405cada19,-4.0284
87a89faad708,-4.0901
b31d28ad8ccb,-4.5342
29a6cf016337,-4.608
e11a2d002b3f,-6.7281
e11a2d002b3f,-8.4156
22d18b619377,-9.257
ec46e6e8c436,-11.3431
6a3e92ba3b30,-13.3377
